"Notes"	"County"	"County Code"	"Gender"	"Gender Code"	"Drug/Alcohol Induced"	"Drug/Alcohol Induced Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Louisa County, IA"	"19115"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	99	10876	910.26	0.00%
	"Louisa County, IA"	"19115"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	121	11328	1068.15	0.00%
	"Lucas County, IA"	"19117"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	108	8437	1280.08	0.00%
	"Lucas County, IA"	"19117"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	109	8808	1237.51	0.00%
	"Lyon County, IA"	"19119"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	118	11602	1017.07	0.00%
	"Lyon County, IA"	"19119"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	99	11964	827.48	0.00%
	"Madison County, IA"	"19121"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	125	16271	768.24	0.00%
	"Madison County, IA"	"19121"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	175	16316	1072.57	0.00%
	"Mahaska County, IA"	"19123"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	244	21731	1122.82	0.00%
	"Mahaska County, IA"	"19123"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	242	22364	1082.10	0.00%
	"Marion County, IA"	"19125"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	358	33350	1073.46	0.01%
	"Marion County, IA"	"19125"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	325	33310	975.68	0.01%
	"Marshall County, IA"	"19127"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	425	39223	1083.55	0.01%
	"Marshall County, IA"	"19127"	"Male"	"M"	"Alcohol-induced causes"	"A"	10	40127	Unreliable	0.00%
	"Marshall County, IA"	"19127"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	545	40127	1358.19	0.01%
	"Mills County, IA"	"19129"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	106	14994	706.95	0.00%
	"Mills County, IA"	"19129"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	172	15178	1133.22	0.00%
	"Mitchell County, IA"	"19131"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	169	10623	1590.89	0.00%
	"Mitchell County, IA"	"19131"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	116	10532	1101.41	0.00%
	"Monona County, IA"	"19133"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	146	8885	1643.22	0.00%
	"Monona County, IA"	"19133"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	140	8409	1664.88	0.00%
	"Monroe County, IA"	"19135"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	97	7811	1241.84	0.00%
	"Monroe County, IA"	"19135"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	88	7686	1144.94	0.00%
	"Montgomery County, IA"	"19137"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	159	10232	1553.95	0.00%
	"Montgomery County, IA"	"19137"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	159	9688	1641.21	0.00%
	"Muscatine County, IA"	"19139"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	437	42786	1021.36	0.01%
	"Muscatine County, IA"	"19139"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	399	42807	932.09	0.01%
	"O'Brien County, IA"	"19141"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	225	13768	1634.22	0.00%
	"O'Brien County, IA"	"19141"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	177	13825	1280.29	0.00%
	"Osceola County, IA"	"19143"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	62	5891	1052.45	0.00%
	"Osceola County, IA"	"19143"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	71	6107	1162.60	0.00%
	"Page County, IA"	"19145"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	211	14288	1476.76	0.00%
	"Page County, IA"	"19145"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	184	16068	1145.13	0.00%
	"Palo Alto County, IA"	"19147"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	146	8943	1632.56	0.00%
	"Palo Alto County, IA"	"19147"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	125	8872	1408.93	0.00%
	"Plymouth County, IA"	"19149"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	235	25194	932.76	0.00%
	"Plymouth County, IA"	"19149"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	245	25078	976.95	0.00%
	"Pocahontas County, IA"	"19151"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	89	6715	1325.39	0.00%
	"Pocahontas County, IA"	"19151"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	106	6644	1595.42	0.00%
	"Polk County, IA"	"19153"	"Female"	"F"	"Drug-induced causes"	"D"	64	495384	12.92	0.00%
	"Polk County, IA"	"19153"	"Female"	"F"	"Alcohol-induced causes"	"A"	37	495384	7.47	0.00%
	"Polk County, IA"	"19153"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	3566	495384	719.85	0.06%
	"Polk County, IA"	"19153"	"Male"	"M"	"Drug-induced causes"	"D"	131	481981	27.18	0.00%
	"Polk County, IA"	"19153"	"Male"	"M"	"Alcohol-induced causes"	"A"	126	481981	26.14	0.00%
	"Polk County, IA"	"19153"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	3468	481981	719.53	0.06%
	"Pottawattamie County, IA"	"19155"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	894	94764	943.40	0.02%
	"Pottawattamie County, IA"	"19155"	"Male"	"M"	"Drug-induced causes"	"D"	13	91975	Unreliable	0.00%
	"Pottawattamie County, IA"	"19155"	"Male"	"M"	"Alcohol-induced causes"	"A"	20	91975	21.75	0.00%
	"Pottawattamie County, IA"	"19155"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	988	91975	1074.20	0.02%
	"Poweshiek County, IA"	"19157"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	224	19150	1169.71	0.00%
	"Poweshiek County, IA"	"19157"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	200	18053	1107.85	0.00%
	"Ringgold County, IA"	"19159"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	90	4981	1806.87	0.00%
	"Ringgold County, IA"	"19159"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	76	4881	1557.06	0.00%
	"Sac County, IA"	"19161"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	132	9847	1340.51	0.00%
	"Sac County, IA"	"19161"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	137	9593	1428.12	0.00%
	"Scott County, IA"	"19163"	"Female"	"F"	"Drug-induced causes"	"D"	14	176330	Unreliable	0.00%
	"Scott County, IA"	"19163"	"Female"	"F"	"Alcohol-induced causes"	"A"	15	176330	Unreliable	0.00%
	"Scott County, IA"	"19163"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	1527	176330	865.99	0.03%
	"Scott County, IA"	"19163"	"Male"	"M"	"Drug-induced causes"	"D"	39	169896	22.96	0.00%
	"Scott County, IA"	"19163"	"Male"	"M"	"Alcohol-induced causes"	"A"	29	169896	17.07	0.00%
	"Scott County, IA"	"19163"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	1508	169896	887.60	0.03%
	"Shelby County, IA"	"19165"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	138	11629	1186.69	0.00%
	"Shelby County, IA"	"19165"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	153	11403	1341.75	0.00%
	"Sioux County, IA"	"19167"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	238	34667	686.53	0.00%
	"Sioux County, IA"	"19167"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	232	35097	661.03	0.00%
	"Story County, IA"	"19169"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	569	93263	610.10	0.01%
	"Story County, IA"	"19169"	"Male"	"M"	"Drug-induced causes"	"D"	10	101959	Unreliable	0.00%
	"Story County, IA"	"19169"	"Male"	"M"	"Alcohol-induced causes"	"A"	11	101959	Unreliable	0.00%
	"Story County, IA"	"19169"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	537	101959	526.68	0.01%
	"Tama County, IA"	"19171"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	220	16838	1306.57	0.00%
	"Tama County, IA"	"19171"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	215	16920	1270.69	0.00%
	"Taylor County, IA"	"19173"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	62	6049	1024.96	0.00%
	"Taylor County, IA"	"19173"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	81	6263	1293.31	0.00%
	"Union County, IA"	"19175"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	139	12639	1099.77	0.00%
	"Union County, IA"	"19175"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	152	11961	1270.80	0.00%
	"Van Buren County, IA"	"19177"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	91	6823	1333.72	0.00%
	"Van Buren County, IA"	"19177"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	111	7241	1532.94	0.00%
	"Wapello County, IA"	"19179"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	424	35193	1204.79	0.01%
	"Wapello County, IA"	"19179"	"Male"	"M"	"Drug-induced causes"	"D"	10	34981	Unreliable	0.00%
	"Wapello County, IA"	"19179"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	437	34981	1249.25	0.01%
	"Warren County, IA"	"19181"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	428	51965	823.63	0.01%
	"Warren County, IA"	"19181"	"Male"	"M"	"Drug-induced causes"	"D"	10	50557	Unreliable	0.00%
	"Warren County, IA"	"19181"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	438	50557	866.35	0.01%
	"Washington County, IA"	"19183"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	249	22347	1114.24	0.00%
	"Washington County, IA"	"19183"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	236	21759	1084.61	0.00%
	"Wayne County, IA"	"19185"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	94	6495	1447.27	0.00%
	"Wayne County, IA"	"19185"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	85	6347	1339.22	0.00%
	"Webster County, IA"	"19187"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	434	34836	1245.84	0.01%
	"Webster County, IA"	"19187"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	421	37345	1127.33	0.01%
	"Winnebago County, IA"	"19189"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	136	10578	1285.69	0.00%
	"Winnebago County, IA"	"19189"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	135	10294	1311.44	0.00%
	"Winneshiek County, IA"	"19191"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	202	20071	1006.43	0.00%
	"Winneshiek County, IA"	"19191"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	168	19949	842.15	0.00%
	"Woodbury County, IA"	"19193"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	999	103496	965.25	0.02%
	"Woodbury County, IA"	"19193"	"Male"	"M"	"Drug-induced causes"	"D"	12	102150	Unreliable	0.00%
	"Woodbury County, IA"	"19193"	"Male"	"M"	"Alcohol-induced causes"	"A"	31	102150	30.35	0.00%
	"Woodbury County, IA"	"19193"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	941	102150	921.19	0.02%
	"Worth County, IA"	"19195"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	87	7323	1188.04	0.00%
	"Worth County, IA"	"19195"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	78	7511	1038.48	0.00%
	"Wright County, IA"	"19197"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	182	12559	1449.16	0.00%
	"Wright County, IA"	"19197"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	177	12693	1394.47	0.00%
	"Allen County, KS"	"20001"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	155	12593	1230.84	0.00%
	"Allen County, KS"	"20001"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	166	12220	1358.43	0.00%
	"Anderson County, KS"	"20003"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	109	7920	1376.26	0.00%
	"Anderson County, KS"	"20003"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	91	7816	1164.28	0.00%
	"Atchison County, KS"	"20005"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	167	16597	1006.21	0.00%
	"Atchison County, KS"	"20005"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	177	15669	1129.62	0.00%
	"Barber County, KS"	"20007"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	54	4327	1247.98	0.00%
	"Barber County, KS"	"20007"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	63	4572	1377.95	0.00%
	"Barton County, KS"	"20009"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	291	26219	1109.88	0.01%
	"Barton County, KS"	"20009"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	306	25671	1192.01	0.01%
	"Bourbon County, KS"	"20011"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	174	14783	1177.03	0.00%
	"Bourbon County, KS"	"20011"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	175	14404	1214.94	0.00%
	"Brown County, KS"	"20013"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	145	9704	1494.23	0.00%
	"Brown County, KS"	"20013"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	155	9458	1638.82	0.00%
	"Butler County, KS"	"20015"	"Female"	"F"	"Drug-induced causes"	"D"	10	66448	Unreliable	0.00%
	"Butler County, KS"	"20015"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	673	66448	1012.82	0.01%
	"Butler County, KS"	"20015"	"Male"	"M"	"Alcohol-induced causes"	"A"	12	67228	Unreliable	0.00%
	"Butler County, KS"	"20015"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	645	67228	959.42	0.01%
	"Chase County, KS"	"20017"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	32	2578	1241.27	0.00%
	"Chase County, KS"	"20017"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	35	2699	1296.78	0.00%
	"Chautauqua County, KS"	"20019"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	56	3201	1749.45	0.00%
	"Chautauqua County, KS"	"20019"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	45	3358	1340.08	0.00%
	"Cherokee County, KS"	"20021"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	302	20270	1489.89	0.01%
	"Cherokee County, KS"	"20021"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	294	19684	1493.60	0.01%
	"Cheyenne County, KS"	"20023"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	39	2631	1482.33	0.00%
	"Cheyenne County, KS"	"20023"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	43	2686	1600.89	0.00%
	"Clark County, KS"	"20025"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	32	2020	1584.16	0.00%
	"Clark County, KS"	"20025"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	28	1979	1414.86	0.00%
	"Clay County, KS"	"20027"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	93	8028	1158.45	0.00%
	"Clay County, KS"	"20027"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	102	7971	1279.64	0.00%
	"Cloud County, KS"	"20029"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	150	8826	1699.52	0.00%
	"Cloud County, KS"	"20029"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	129	8689	1484.64	0.00%
	"Coffey County, KS"	"20031"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	103	8306	1240.07	0.00%
	"Coffey County, KS"	"20031"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	104	8106	1283.00	0.00%
	"Comanche County, KS"	"20033"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	28	1771	1581.03	0.00%
	"Comanche County, KS"	"20033"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	28	1677	1669.65	0.00%
	"Cowley County, KS"	"20035"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	429	34857	1230.74	0.01%
	"Cowley County, KS"	"20035"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	480	35269	1360.97	0.01%
	"Crawford County, KS"	"20037"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	436	38890	1121.11	0.01%
	"Crawford County, KS"	"20037"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	407	38947	1045.01	0.01%
	"Decatur County, KS"	"20039"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	44	2837	1550.93	0.00%
	"Decatur County, KS"	"20039"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	55	2861	1922.40	0.00%
	"Dickinson County, KS"	"20041"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	226	18498	1221.75	0.00%
	"Dickinson County, KS"	"20041"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	228	18685	1220.23	0.00%
	"Doniphan County, KS"	"20043"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	89	7584	1173.52	0.00%
	"Doniphan County, KS"	"20043"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	96	7698	1247.08	0.00%
	"Douglas County, KS"	"20045"	"Female"	"F"	"Drug-induced causes"	"D"	13	122321	Unreliable	0.00%
	"Douglas County, KS"	"20045"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	772	122321	631.13	0.01%
	"Douglas County, KS"	"20045"	"Male"	"M"	"Drug-induced causes"	"D"	18	121374	Unreliable	0.00%
	"Douglas County, KS"	"20045"	"Male"	"M"	"Alcohol-induced causes"	"A"	21	121374	17.30	0.00%
	"Douglas County, KS"	"20045"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	678	121374	558.60	0.01%
	"Edwards County, KS"	"20047"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	30	2762	1086.17	0.00%
	"Edwards County, KS"	"20047"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	60	2885	2079.72	0.00%
	"Elk County, KS"	"20049"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	24	2500	960.00	0.00%
	"Elk County, KS"	"20049"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	56	2538	2206.46	0.00%
	"Ellis County, KS"	"20051"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	220	28427	773.91	0.00%
	"Ellis County, KS"	"20051"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	230	28836	797.61	0.00%
	"Ellsworth County, KS"	"20053"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	63	5335	1180.88	0.00%
	"Ellsworth County, KS"	"20053"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	79	6963	1134.57	0.00%
	"Finney County, KS"	"20055"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	229	35424	646.45	0.00%
	"Finney County, KS"	"20055"	"Male"	"M"	"Alcohol-induced causes"	"A"	10	37654	Unreliable	0.00%
	"Finney County, KS"	"20055"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	229	37654	608.17	0.00%
	"Ford County, KS"	"20057"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	252	32465	776.22	0.00%
	"Ford County, KS"	"20057"	"Male"	"M"	"Alcohol-induced causes"	"A"	12	35042	Unreliable	0.00%
	"Ford County, KS"	"20057"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	240	35042	684.89	0.00%
	"Franklin County, KS"	"20059"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	263	25648	1025.42	0.00%
	"Franklin County, KS"	"20059"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	264	25527	1034.20	0.00%
	"Geary County, KS"	"20061"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	193	30468	633.45	0.00%
	"Geary County, KS"	"20061"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	211	33796	624.33	0.00%
	"Gove County, KS"	"20063"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	35	2615	1338.43	0.00%
	"Gove County, KS"	"20063"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	25	2633	949.49	0.00%
	"Graham County, KS"	"20065"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	34	2521	1348.67	0.00%
	"Graham County, KS"	"20065"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	34	2453	1386.06	0.00%
	"Grant County, KS"	"20067"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	73	7207	1012.90	0.00%
	"Grant County, KS"	"20067"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	51	7279	700.65	0.00%
	"Gray County, KS"	"20069"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	68	5954	1142.09	0.00%
	"Gray County, KS"	"20069"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	43	6067	708.75	0.00%
	"Greeley County, KS"	"20071"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	19	1269	Unreliable	0.00%
	"Greeley County, KS"	"20071"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	25	1190	2100.84	0.00%
	"Greenwood County, KS"	"20073"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	93	6030	1542.29	0.00%
	"Greenwood County, KS"	"20073"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	83	6007	1381.72	0.00%
	"Hamilton County, KS"	"20075"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	17	2470	Unreliable	0.00%
	"Hamilton County, KS"	"20075"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	27	2676	1008.97	0.00%
	"Harper County, KS"	"20077"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	102	5467	1865.74	0.00%
	"Harper County, KS"	"20077"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	84	5475	1534.25	0.00%
	"Harvey County, KS"	"20079"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	453	34785	1302.29	0.01%
	"Harvey County, KS"	"20079"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	382	33854	1128.37	0.01%
	"Haskell County, KS"	"20081"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	26	3960	656.57	0.00%
	"Haskell County, KS"	"20081"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	36	4005	898.88	0.00%
	"Hodgeman County, KS"	"20083"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	30	1789	1676.91	0.00%
	"Hodgeman County, KS"	"20083"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	29	1823	1590.78	0.00%
	"Jackson County, KS"	"20085"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	116	13197	878.99	0.00%
	"Jackson County, KS"	"20085"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	136	13254	1026.11	0.00%
	"Jefferson County, KS"	"20087"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	154	18679	824.46	0.00%
	"Jefferson County, KS"	"20087"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	191	19339	987.64	0.00%
	"Jewell County, KS"	"20089"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	29	2793	1038.31	0.00%
	"Jewell County, KS"	"20089"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	55	2927	1879.06	0.00%
	"Johnson County, KS"	"20091"	"Female"	"F"	"Drug-induced causes"	"D"	54	611081	8.84	0.00%
	"Johnson County, KS"	"20091"	"Female"	"F"	"Alcohol-induced causes"	"A"	28	611081	4.58	0.00%
	"Johnson County, KS"	"20091"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	4291	611081	702.20	0.08%
	"Johnson County, KS"	"20091"	"Male"	"M"	"Drug-induced causes"	"D"	77	588875	13.08	0.00%
	"Johnson County, KS"	"20091"	"Male"	"M"	"Alcohol-induced causes"	"A"	55	588875	9.34	0.00%
	"Johnson County, KS"	"20091"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	3980	588875	675.86	0.07%
	"Kearny County, KS"	"20093"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	30	3910	767.26	0.00%
	"Kearny County, KS"	"20093"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	40	3871	1033.32	0.00%
	"Kingman County, KS"	"20095"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	158	7233	2184.43	0.00%
	"Kingman County, KS"	"20095"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	175	7229	2420.81	0.00%
	"Kiowa County, KS"	"20097"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	36	2535	1420.12	0.00%
	"Kiowa County, KS"	"20097"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	34	2456	1384.36	0.00%
	"Labette County, KS"	"20099"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	260	19850	1309.82	0.00%
	"Labette County, KS"	"20099"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	278	19732	1408.88	0.00%
	"Lane County, KS"	"20101"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	32	1534	2086.05	0.00%
	"Lane County, KS"	"20101"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	24	1561	1537.48	0.00%
	"Leavenworth County, KS"	"20103"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	572	76259	750.08	0.01%
	"Leavenworth County, KS"	"20103"	"Male"	"M"	"Drug-induced causes"	"D"	16	86851	Unreliable	0.00%
	"Leavenworth County, KS"	"20103"	"Male"	"M"	"Alcohol-induced causes"	"A"	18	86851	Unreliable	0.00%
	"Leavenworth County, KS"	"20103"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	696	86851	801.37	0.01%
	"Lincoln County, KS"	"20105"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	24	3001	799.73	0.00%
	"Lincoln County, KS"	"20105"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	48	2984	1608.58	0.00%
	"Linn County, KS"	"20107"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	92	9592	959.13	0.00%
	"Linn County, KS"	"20107"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	132	9861	1338.61	0.00%
	"Logan County, KS"	"20109"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	33	2830	1166.08	0.00%
	"Logan County, KS"	"20109"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	35	2808	1246.44	0.00%
